,TEAM_ID,ABBREVIATION
0,1610612737,ATL
1,1610612738,BOS
2,1610612740,NOP
3,1610612741,CHI
4,1610612742,DAL
5,1610612743,DEN
6,1610612745,HOU
7,1610612746,LAC
8,1610612747,LAL
9,1610612748,MIA
10,1610612749,MIL
11,1610612750,MIN
12,1610612751,BKN
13,1610612752,NYK
14,1610612753,ORL
15,1610612754,IND
16,1610612755,PHI
17,1610612756,PHX
18,1610612757,POR
19,1610612758,SAC
20,1610612759,SAS
21,1610612760,OKC
22,1610612761,TOR
23,1610612762,UTA
24,1610612763,MEM
25,1610612764,WAS
26,1610612765,DET
27,1610612766,CHA
28,1610612739,CLE
29,1610612744,GSW
